Date,Close,Open,High,Low,유로환율_변동%_x,return,log_return,lag_1,lag_2,lag_3,lag_4,lag_5,sma_5,std_5,sma_10,std_10,sma_20,std_20,sma_60,std_60,bb_upper,bb_lower,bb_width,volatility_20,momentum_5,momentum_10,momentum_20,rsi_14,macd,macd_sig,macd_hist,sto_k,sto_d,Volume,alpha1,alpha2,alpha3,alpha4,alpha5,alpha6,alpha7,alpha8,alpha9,VWAP,alpha10,alpha11,alpha12,alpha13,alpha14,alpha15,alpha16,adv20,alpha17,alpha18,alpha19,alpha20,alpha21,alpha22,alpha23,alpha24,alpha25,alpha26,alpha27,alpha28,alpha29,alpha30,alpha31,alpha32,alpha33,alpha34,alpha35,alpha36,alpha37,returns,alpha38,alpha39,alpha40,alpha41,alpha42,alpha43,alpha44,alpha48,alpha45,alpha46,alpha47,alpha49,alpha50,cap,alpha56,alpha57,alpha58,alpha59,alpha51,alpha52,alpha53,alpha54,alpha55,alpha60,adv180,adv120,adv60,adv50,adv15,alpha61,alpha62,alpha63,alpha64,alpha65,alpha66,alpha67,alpha68,alpha69,alpha70,adv5,adv10,adv30,adv40,adv81,adv150,alpha73,alpha71,alpha72,alpha74,alpha75,alpha76,alpha77,alpha78,alpha79,alpha80,alpha81,alpha82,alpha83,alpha84,alpha85,alpha86,alpha87,alpha88,alpha89,alpha90,alpha91,alpha92,alpha93,alpha94,alpha95,alpha96,alpha97,alpha98,alpha99,alpha100,alpha101
2025-06-18,1579.94,1586.22,1587.47,1575.24,-0.4,-0.003959097729192673,-0.003966955703790815,0.009145092234255671,-0.004620998181137373,0.005773222387550471,-0.002595404794042334,0.008389337709208227,1577.3939999999998,6.591447488980552,1567.018,13.8984953622084,,,,,,,,,5.8900000000001,24.820000000000164,,,0.7215111361663276,-1.695398313687234,2.4169094498535615,,,,,,,-1.0,,,-1.0,,49.0,1580.8833333333332,-26.0,,,,,,,,,-5.0,,-41800.0,-1,,0.0,-0.8800000000001091,,,1,,1.7,,,,38.0,25.0,,,,-0.003959097729192673,-50.0,,,0.45984346289901623,2.230769230769231,,,,,6.279999999999973,,6.279999999999973,,,,,,,6.279999999999973,,-0.08138882394193747,-0.39199952047750014,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,-0.5134494317717246
2025-06-19,1582.53,1580.28,1588.14,1572.78,0.16,0.0016393027583325726,0.0016379605682029477,-0.003966955703790815,0.009145092234255671,-0.004620998181137373,0.005773222387550471,-0.002595404794042334,1579.9060000000002,5.326835833774759,1570.13,13.493540018179639,,,,,,,,,12.559999999999945,31.11999999999989,,,1.495516038097776,-1.057215443330232,2.552731481428008,90.61068702290062,,,,,,-0.8888888888888888,,,-0.6666666666666666,,45.0,1581.1499999999999,-8.0,,,,,,,,,-21.0,,-11322.0,-1,,0.0,-10.75,,,1,,1.9,,,,21.0,18.0,,,,0.0016393027583325726,-262.5,,,-0.7086599939875668,1.0666666666666667,,,,,-2.589999999999918,,-2.589999999999918,,,,,,,-2.589999999999918,,-1.2528702322607113,-0.6302659718919337,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.14647483887767604
2025-06-20,1582.25,1582.61,1587.72,1571.31,-0.02,-0.00017693187490919193,-0.00017694752919989395,0.0016379605682029477,-0.003966955703790815,0.009145092234255671,-0.004620998181137373,0.005773222387550471,1580.544,5.3908283222512665,1573.362,11.893400410871747,,,,,,,,,3.1900000000000546,32.319999999999936,,53.313976772126516,2.0625510349034357,-0.4332621476834986,2.495813182586934,89.89821882951647,,,,,,-0.7777777777777778,,,-0.3333333333333333,,29.0,1580.4266666666665,-2.0,,,,,,,,,-16.0,,-26040.0,-1,,0.0,3.9700000000000273,,,1,,2.5,,,,25.0,33.0,,,,-0.00017693187490919193,-110.5,,,-0.9329777903863032,0.8571428571428571,,,,,0.2799999999999727,,0.2799999999999727,,,,,-0.2,,0.2799999999999727,,-2.137462235649415,-0.6674254255114032,,,,,,,,0,0,,0,0,,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,-0.021936506002065575
2025-06-23,1587.44,1576.48,1599.23,1572.01,0.33,0.0032801390425027943,0.0032747711215820275,-0.00017694752919989395,0.0016379605682029477,-0.003966955703790815,0.009145092234255671,-0.004620998181137373,1583.676,3.0799399344766343,1577.4140000000002,8.218545694544844,,,,,,,,,15.660000000000082,40.51999999999998,,60.14201914171046,2.897321462202626,0.23285457429372636,2.6644668879088997,100.0,93.50296861747238,,,,,-0.7777777777777778,,,-0.6666666666666666,,27.0,1586.2266666666667,-36.0,,,,,,,,,-31.0,,-200.0,-1,,0.0,-7.5,,,1,,4.1,,,,5.0,18.0,,,,0.0032801390425027943,-906.5,,,-0.6650777335846669,1.0,,,,,-5.190000000000055,,-5.190000000000055,,,,,-0.6,,-5.190000000000055,,0.5250129476124068,-0.5475622955912035,,,,,,,,0,0,,0,0,-18.666666666666668,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.40263032217773137
2025-06-24,1577.81,1587.44,1591.91,1573.82,-0.61,-0.00606637101244778,-0.0060848461971899515,0.0032747711215820275,-0.00017694752919989395,0.0016379605682029477,-0.003966955703790815,0.009145092234255671,1581.9940000000001,3.596405149588338,1579.105,5.838095675055201,,,,,,,,,-8.410000000000082,16.909999999999854,,62.04480305764951,2.7501208401470194,0.7363078274643851,2.0138130126826344,76.23395853899281,88.7107257895031,,,,,-0.8888888888888888,,,-1.0,,42.0,1581.18,-34.0,,,,,,,,,-1.0,,-2970.0,-1,,0.0,4.720000000000027,,,1,,4.5,,,,40.0,22.5,,,,-0.00606637101244778,-4.0,,,1.6591567686211874,3.4166666666666665,,,,,9.63000000000011,,9.63000000000011,,,,,-0.4,,9.63000000000011,,3.3423825958338735,-0.22737745671473647,,,,,,,,0,0,,0,0,-12.5,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,-0.532308882869937
2025-06-25,1584.83,1577.8,1586.19,1571.4,0.44,0.0044492049106039655,0.0044393364587847805,-0.0060848461971899515,0.0032747711215820275,-0.00017694752919989395,0.0016379605682029477,-0.003966955703790815,1582.9720000000002,3.56293699074019,1580.183,5.796090732361267,,,,,,,,,4.889999999999873,10.779999999999973,,67.1384615384615,3.163452309019249,1.2217367237753578,1.941715585243891,93.55873642645575,89.93089832181619,,,,,-0.5555555555555556,,,-0.3333333333333333,,39.0,1580.8066666666666,-28.0,,,,,,,,,-27.0,,-517.0,-1,,0.0,-2.5799999999999272,,,1,,13.7,,,,10.0,3.0,,,,0.0044492049106039655,-208.0,,,-2.0289856741844687,0.29411764705882354,,,,,-7.019999999999982,,-7.019999999999982,,,,,-0.6,,-7.019999999999982,,-0.8080125277306323,-0.8880842733465916,,,,,,,,0,0,,0,0,-4.5,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.4752890271110804
2025-06-26,1588.78,1584.82,1591.82,1581.52,0.25,0.0024923808862780117,0.002489280056267798,0.0044393364587847805,-0.0060848461971899515,0.0032747711215820275,-0.00017694752919989395,0.0016379605682029477,1584.222,4.3733019561864355,1582.0639999999999,5.126981351415588,,,,,,,,,6.25,18.809999999999945,,69.43082924877463,3.7663364819641174,1.7306566754131099,2.0356798065510073,100.0,89.93089832181619,,,,,-1.0,,,-1.0,,36.0,1587.3733333333332,-14.0,,,,,,,,,-22.0,,-28693.5,-1,,0.0,-1.3399999999999181,,,1,,14.3,,,,16.0,25.0,,,,0.0024923808862780117,-637.0,,,-0.711691268460072,0.7894736842105263,,,,,-3.9500000000000455,,-3.9500000000000455,,,,,-1.0,,-3.9500000000000455,,0.07657591962404409,-0.6961138768240276,,,,,,,,0,0,,0,0,-3.3333333333333335,,0,,,,,,,,,,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.38442869624308845
2025-06-27,1599.29,1588.17,1599.55,1582.46,0.66,0.006615138659852304,0.006593354646845463,0.002489280056267798,0.0044393364587847805,-0.0060848461971899515,0.0032747711215820275,-0.00017694752919989395,1587.6299999999999,7.771528163751505,1584.087,7.3284772558064475,1573.5795,14.385992995747014,,,1602.351485991494,1544.8075140085061,57.54397198298784,,17.039999999999964,20.230000000000018,,74.3649390527589,5.034164976642387,2.3913583356589654,2.6428066409834217,100.0,97.85291214215192,,,,,-1.0,,,-1.0,,58.0,1593.7666666666667,-37.0,,,,,,,,,-28.0,,-7200.0,-1,,-13.3599999999999,-21.480000000000018,,,1,,10.1,,,,4.0,11.0,,,,0.006615138659852304,-931.0,,,-2.784613656639749,0.09523809523809523,,,,,-10.509999999999991,,-10.509999999999991,,,,,-1.0,,-10.509999999999991,,-3.807211494838317,-0.9510227041347118,,,,,,,,0,0,,0,0,-16.333333333333332,,0,,,,,,,,,-22.0,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.6506348370487358
2025-06-30,1594.55,1598.54,1602.09,1580.07,-0.3,-0.0029638151929919365,-0.0029682159908264033,0.006593354646845463,0.002489280056267798,0.0044393364587847805,-0.0060848461971899515,0.0032747711215820275,1589.0520000000001,8.35653157715461,1586.364,6.578787797829458,1574.5255,15.130725266994355,,,1604.7869505339886,1544.2640494660113,60.52290106797727,0.08419871138128149,7.1099999999999,22.769999999999982,18.919999999999845,67.12816858393563,5.591988840260456,3.0314844365792633,2.5605044036811924,83.8335607094133,94.61118690313776,,,,,-0.7777777777777778,,,-0.3333333333333333,,61.0,1592.2366666666667,-16.0,,,,,,,,,-7.0,,-13320.0,-1,,-10.269999999999982,-9.720000000000027,,,1,,10.1,,,,31.0,28.0,,,,-0.0029638151929919365,-137.5,,,-1.1947607760644132,0.5,,,,,-1.0,,4.740000000000009,,,,,-0.8,,4.740000000000009,,0.46526368658964906,-0.6658525663068158,,,,,,,,0,0,,0,0,-19.166666666666668,,0,,,,,,,,,-25.0,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,-0.18119068162208857
2025-07-01,1601.57,1594.48,1603.42,1590.3,0.44,0.004402496002006817,0.004392833365914017,-0.0029682159908264033,0.006593354646845463,0.002489280056267798,0.0044393364587847805,-0.0060848461971899515,1593.8039999999999,7.013143375119316,1587.899,8.145642938950107,1576.2175,16.186100234135235,,,1608.5897004682704,1543.8452995317296,64.74440093654084,0.082476076520858,23.75999999999999,15.349999999999909,33.83999999999992,64.94028230184583,6.525303960300107,3.730248341323432,2.795055618976675,100.0,94.61118690313776,,,,,-1.0,,,-1.0,,47.0,1598.43,-29.0,,,,,,,,,-25.0,,-11200.0,-1,,-3.8700000000001182,-12.789999999999964,,,1,,5.9,,,,11.0,7.0,,,,0.004402496002006817,-759.5,,,-1.5834745004453907,0.36363636363636365,,,,,1.0,,1.0,,,,,-0.8,,1.0,,-1.4379750420056678,-0.8401480734394289,,,,,,,,0,0,,0,0,-23.166666666666668,,0,,,,,,,,,-32.0,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.540355155857012
2025-07-02,1600.1,1601.57,1608.51,1596.55,-0.09,-0.0009178493603152482,-0.0009182708419635408,0.004392833365914017,-0.0029682159908264033,0.006593354646845463,0.002489280056267798,0.0044393364587847805,1596.8579999999997,5.225157413894688,1589.915,8.446167112298035,1578.4665,16.225250391385565,,,1610.917000782771,1546.015999217229,64.90100156554217,0.07557596405597203,15.269999999999982,20.159999999999854,44.98000000000002,66.83428316012956,7.0649063596440556,4.397179944987557,2.6677264146564985,95.06545820745207,92.96633963895512,,,,,-1.0,,,-1.0,,46.0,1601.72,-6.0,,,,,,,,,-11.0,,-31680.0,-1,,-6.420000000000073,-0.8099999999999454,,,1,,6.5,,,,28.0,22.5,,,,-0.0009178493603152482,-175.0,,,0.798842478926872,1.391304347826087,,,,,1.0,,1.0,,,,,-0.2,,1.0,,1.7936294691224672,-0.298188694207681,,,,,,,,0,0,,0,0,-25.166666666666668,,0,,,,,,,,,-33.0,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,-0.12289942312515867
2025-07-03,1603.0,1600.1,1609.66,1594.28,0.18,0.0018123867258297288,0.0018107463347240645,-0.0009182708419635408,0.004392833365914017,-0.0029682159908264033,0.006593354646845463,0.002489280056267798,1599.702,3.2108207673392517,1591.962,8.924476704234147,1581.046,15.792533678925654,,,1612.6310673578514,1549.4609326421487,63.170134715702716,0.07422294876214712,14.220000000000027,20.470000000000027,51.58999999999992,64.36974789915968,7.638499050188329,5.045443766027711,2.5930552841606183,100.0,98.35515273581736,,,,,-0.8888888888888888,,,-0.6666666666666666,,48.0,1602.3133333333335,-10.0,,,,,,,,,-20.0,,-3217.5,-1,,-6.240000000000009,-8.450000000000045,,,1,,5.7,,,,19.0,25.0,,,,0.0018123867258297288,-563.5,,,-0.36179074535630207,0.8333333333333334,,,,,1.0,,1.0,,,,,-0.2,,1.0,,0.2637614678899153,-0.5618600632719722,,,,,,,,0,0,,0,0,-27.166666666666668,,0,,,,,,,,,-27.0,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.18854430791236398
2025-07-04,1604.92,1603.07,1608.89,1597.18,0.12,0.0011977542108547734,0.0011970374755380377,0.0018107463347240645,-0.0009182708419635408,0.004392833365914017,-0.0029682159908264033,0.006593354646845463,1600.828,3.93560287630454,1594.2289999999998,9.061582459296945,1583.7955,14.84879171940662,,,1613.4930834388133,1554.0979165611866,59.39516687762671,0.07361761453222092,5.630000000000109,22.670000000000073,54.99000000000001,71.25994354631767,8.154009003746523,5.6671568135714745,2.486852190175049,100.0,98.35515273581736,,,,,-1.0,,,-1.0,,40.0,1603.6633333333332,-7.0,,,,,,,,,-14.0,,-18183.0,-1,,-0.38000000000010914,-3.3500000000001364,,,1,,6.1,,,,22.0,31.0,,,,0.0011977542108547734,-490.0,,,-0.639025906898496,0.68,,,,,1.0,,1.0,,,,,-0.2,,1.0,,-0.25117602040388276,-0.6571727604641464,,,,,,,,0,0,,0,0,-26.166666666666668,,0,,,,,,,,,-26.0,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.1579711382461046
2025-07-07,1610.61,1603.31,1614.09,1602.13,0.35,0.003545348054731612,0.0035390781233396607,0.0011970374755380377,0.0018107463347240645,-0.0009182708419635408,0.004392833365914017,-0.0029682159908264033,1604.04,4.081831696674227,1596.5459999999998,10.041979884463462,1586.98,13.269751514748231,,,1613.5195030294965,1560.4404969705035,53.079006058992945,0.07254020748329622,16.059999999999945,23.169999999999845,63.68999999999983,67.62537939008516,8.918878522873229,6.317501155431826,2.601377367441403,100.0,100.0,,,,,-1.0,,,-1.0,,44.0,1608.9433333333334,-31.0,,,,,,,,,-26.0,,-2530.0,-1,,-4.429999999999836,-10.509999999999991,,,1,,5.7,,,,8.0,13.5,,,,0.003545348054731612,-833.0,,,-0.8444521385231383,0.4482758620689655,,,,,1.0,,1.0,,,,,-1.0,,1.0,,-3.1234572279756136,-0.6931069011295886,,,,,,,,0,0,,0,0,-24.333333333333332,,0,,,,,,,,,-30.0,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,0.6103168631385395
2025-07-08,1606.51,1610.74,1615.21,1602.78,-0.25,-0.0025456193616082423,-0.0025488649597837465,0.0035390781233396607,0.0011970374755380377,0.0018107463347240645,-0.0009182708419635408,0.004392833365914017,1605.0279999999998,3.9295254166341502,1599.416,7.982250030882304,1589.2604999999999,12.445419142463066,,,1614.151338284926,1564.3696617150738,49.78167656985215,0.0693120165282254,4.940000000000055,28.700000000000045,45.6099999999999,69.82539919415008,9.089430100276104,6.871886944400682,2.217543155875422,87.50000000000026,95.83333333333341,,,,,-1.0,,,-1.0,,54.0,1608.1666666666667,-19.0,,,,,,,,,-6.0,,-31248.0,-1,,-6.319999999999936,-3.509999999999991,,,1,,6.3,,,,33.0,12.0,,,,-0.0025456193616082423,-112.5,,,0.8163300738208363,1.2222222222222223,,,,,-1.0,,4.099999999999909,,,,,-0.8,,4.099999999999909,,2.231173855499362,-0.30405192399282266,,,,,,,,0,0,,0,0,-22.5,,0,,,,,,,,,-24.0,,,0,False,,,,False,,0,,,,,0,,,,,,,,,False,,,,0,,-0.3402783364170217
