"날짜","종가","시가","고가","저가","거래량","변동 %"
"2016- 12- 16","4,833.27","4,815.35","4,856.96","4,804.70","212.72M","0.29%"
"2016- 12- 15","4,819.23","4,776.83","4,830.30","4,776.33","145.55M","1.05%"
"2016- 12- 14","4,769.24","4,778.96","4,790.63","4,765.01","112.78M","-0.72%"
"2016- 12- 13","4,803.87","4,754.22","4,807.88","4,746.55","113.89M","0.91%"
"2016- 12- 12","4,760.77","4,769.84","4,780.95","4,754.15","101.41M","-0.07%"
"2016- 12- 09","4,764.07","4,741.10","4,780.52","4,737.38","125.38M","0.60%"
"2016- 12- 08","4,735.48","4,709.89","4,748.51","4,688.58","154.26M","0.87%"
"2016- 12- 07","4,694.72","4,676.61","4,694.72","4,658.73","141.48M","1.36%"
"2016- 12- 06","4,631.94","4,576.87","4,639.91","4,558.90","122.98M","1.26%"
"2016- 12- 05","4,574.32","4,506.66","4,605.56","4,502.20","111.54M","1.00%"
"2016- 12- 02","4,528.82","4,527.84","4,545.25","4,490.15","102.07M","-0.70%"
"2016- 12- 01","4,560.61","4,571.20","4,582.83","4,541.02","111.64M","-0.39%"
"2016- 11- 30","4,578.34","4,548.98","4,597.54","4,547.58","143.64M","0.59%"
"2016- 11- 29","4,551.46","4,506.91","4,551.46","4,494.37","89.27M","0.91%"
"2016- 11- 28","4,510.39","4,544.09","4,545.14","4,499.20","82.98M","-0.88%"
"2016- 11- 25","4,550.27","4,548.85","4,555.47","4,524.34","64.86M","0.17%"
"2016- 11- 24","4,542.56","4,537.27","4,552.04","4,520.49","57.01M","0.29%"
"2016- 11- 23","4,529.21","4,557.93","4,559.21","4,509.02","102.20M","-0.42%"
"2016- 11- 22","4,548.35","4,561.70","4,571.79","4,541.58","125.79M","0.41%"
"2016- 11- 21","4,529.58","4,525.46","4,540.90","4,479.69","84.15M","0.56%"
"2016- 11- 18","4,504.35","4,547.05","4,551.63","4,496.74","106.65M","-0.52%"
"2016- 11- 17","4,527.77","4,494.53","4,527.77","4,482.58","88.44M","0.59%"
"2016- 11- 16","4,501.14","4,545.89","4,548.83","4,479.94","102.20M","-0.78%"
"2016- 11- 15","4,536.53","4,524.98","4,541.46","4,504.35","112.08M","0.62%"
