"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 11- 05","1,504.93","1,495.06","1,509.49","1,493.35","","0.80%"
"2024- 11- 04","1,492.98","1,500.83","1,502.77","1,490.77","","-0.02%"
"2024- 11- 01","1,493.31","1,495.16","1,502.88","1,492.23","","-0.03%"
"2024- 10- 31","1,493.79","1,497.59","1,502.02","1,492.95","","-0.16%"
"2024- 10- 30","1,496.25","1,497.60","1,500.78","1,489.31","","-0.01%"
"2024- 10- 29","1,496.39","1,495.18","1,501.55","1,490.66","","0.14%"
"2024- 10- 28","1,494.32","1,499.38","1,501.09","1,492.84","","-0.25%"
"2024- 10- 25","1,498.01","1,493.56","1,506.53","1,490.01","","0.36%"
"2024- 10- 24","1,492.60","1,488.59","1,495.08","1,485.99","","0.33%"
"2024- 10- 23","1,487.70","1,490.10","1,496.26","1,486.96","","-0.03%"
"2024- 10- 22","1,488.12","1,492.29","1,496.13","1,488.14","","-0.22%"
"2024- 10- 21","1,491.41","1,487.43","1,497.36","1,484.69","","0.31%"
"2024- 10- 18","1,486.87","1,485.23","1,489.92","1,482.72","","0.22%"
"2024- 10- 17","1,483.67","1,482.03","1,490.90","1,478.85","","0.17%"
"2024- 10- 16","1,481.11","1,486.38","1,488.44","1,479.88","","-0.26%"
"2024- 10- 15","1,485.01","1,481.72","1,489.86","1,478.55","","0.37%"
"2024- 10- 14","1,479.54","1,475.21","1,486.11","1,472.86","","0.32%"
"2024- 10- 11","1,474.76","1,477.11","1,481.16","1,471.31","","-0.04%"
"2024- 10- 10","1,475.30","1,474.05","1,482.68","1,470.81","","0.22%"
"2024- 10- 09","1,472.06","1,472.91","1,477.32","1,469.30","","0.10%"
"2024- 10- 08","1,470.53","1,477.17","1,483.77","1,471.99","","-0.38%"
"2024- 10- 07","1,476.17","1,478.32","1,481.23","1,473.93","","-0.11%"
"2024- 10- 04","1,477.82","1,472.93","1,483.03","1,468.63","","0.50%"
"2024- 10- 03","1,470.53","1,463.61","1,475.92","1,460.79","","0.57%"
"2024- 10- 02","1,462.16","1,466.21","1,467.51","1,457.27","","-0.20%"
"2024- 10- 01","1,465.15","1,468.72","1,475.03","1,459.83","","-0.08%"
"2024- 09- 30","1,466.36","1,462.17","1,471.42","1,455.30","","0.40%"
"2024- 09- 27","1,460.46","1,468.27","1,477.77","1,459.76","","-0.45%"
"2024- 09- 26","1,467.10","1,486.86","1,488.36","1,467.48","","-1.17%"
"2024- 09- 25","1,484.50","1,482.46","1,493.20","1,480.78","","0.20%"
"2024- 09- 24","1,481.55","1,482.47","1,489.44","1,479.84","","-0.02%"
"2024- 09- 23","1,481.92","1,487.41","1,493.11","1,481.49","","-0.30%"
"2024- 09- 20","1,486.38","1,483.02","1,492.97","1,480.79","","0.37%"
"2024- 09- 19","1,480.91","1,468.85","1,485.64","1,467.73","","0.98%"
"2024- 09- 18","1,466.56","1,466.93","1,481.20","1,465.81","","0.08%"
"2024- 09- 17","1,465.36","1,471.69","1,471.69","1,463.39","","-0.31%"
"2024- 09- 16","1,469.92","1,472.88","1,476.11","1,464.48","","-0.08%"
"2024- 09- 13","1,471.13","1,480.52","1,482.86","1,469.81","","-0.53%"
"2024- 09- 12","1,479.00","1,475.44","1,483.13","1,473.00","","0.32%"
"2024- 09- 11","1,474.35","1,481.35","1,483.21","1,474.35","","-0.39%"
"2024- 09- 10","1,480.08","1,481.94","1,485.77","1,478.43","","-0.02%"
"2024- 09- 09","1,480.39","1,483.54","1,490.28","1,479.82","","-0.11%"
"2024- 09- 06","1,482.09","1,481.71","1,485.51","1,473.93","","0.07%"
"2024- 09- 05","1,481.01","1,479.14","1,484.26","1,475.51","","0.23%"
"2024- 09- 04","1,477.61","1,480.58","1,486.68","1,477.55","","-0.09%"
"2024- 09- 03","1,478.98","1,481.71","1,487.73","1,477.49","","-0.12%"
"2024- 09- 02","1,480.72","1,477.61","1,483.25","1,476.50","","0.29%"
"2024- 08- 30","1,476.50","1,478.08","1,482.69","1,475.51","","-0.02%"
"2024- 08- 29","1,476.83","1,487.04","1,490.69","1,472.88","","-0.59%"
"2024- 08- 28","1,485.61","1,484.42","1,495.10","1,482.75","","0.19%"
"2024- 08- 27","1,482.74","1,483.07","1,491.38","1,482.15","","0.08%"
"2024- 08- 26","1,481.60","1,482.05","1,486.69","1,475.22","","0.05%"
"2024- 08- 23","1,480.92","1,491.61","1,493.82","1,480.56","","-0.64%"
"2024- 08- 22","1,490.44","1,487.61","1,493.81","1,484.71","","0.31%"
"2024- 08- 21","1,485.89","1,478.41","1,490.26","1,475.69","","0.56%"
"2024- 08- 20","1,477.55","1,477.31","1,481.66","1,468.08","","0.10%"
"2024- 08- 19","1,476.12","1,488.35","1,489.83","1,469.51","","-0.79%"
"2024- 08- 16","1,487.80","1,498.27","1,499.53","1,485.79","","-0.59%"
"2024- 08- 15","1,496.69","1,494.88","1,501.08","1,486.28","","0.23%"
"2024- 08- 14","1,493.23","1,498.05","1,501.17","1,491.32","","-0.21%"
"2024- 08- 13","1,496.33","1,498.02","1,502.09","1,495.53","","0.00%"
"2024- 08- 12","1,496.32","1,490.48","1,500.33","1,488.13","","0.48%"
"2024- 08- 09","1,489.15","1,500.66","1,503.81","1,485.88","","-0.69%"
"2024- 08- 08","1,499.51","1,502.83","1,508.09","1,499.36","","-0.10%"
"2024- 08- 07","1,501.06","1,503.92","1,505.56","1,499.07","","-0.09%"
"2024- 08- 06","1,502.35","1,498.20","1,507.71","1,495.67","","0.39%"
