"날짜","종가","시가","고가","저가","거래량","변동 %"
"2024- 07- 19","191.04","190.90","191.49","190.57","","0.19%"
"2024- 07- 18","190.68","190.01","191.04","189.46","","0.45%"
"2024- 07- 17","189.83","190.39","190.54","189.49","","-0.22%"
"2024- 07- 16","190.24","190.82","191.18","190.13","","-0.21%"
"2024- 07- 15","190.64","189.66","190.93","189.56","","0.63%"
"2024- 07- 12","189.45","189.07","190.01","188.70","","0.30%"
"2024- 07- 11","188.88","190.21","190.35","188.77","","-0.62%"
"2024- 07- 10","190.05","190.29","190.85","189.99","","-0.05%"
"2024- 07- 09","190.15","190.43","190.80","189.87","","-0.08%"
"2024- 07- 08","190.30","189.52","190.66","189.38","","0.49%"
"2024- 07- 05","189.38","189.91","190.43","189.34","","-0.25%"
"2024- 07- 04","189.86","190.86","190.93","189.70","","-0.46%"
"2024- 07- 03","190.74","190.71","191.48","190.07","","0.07%"
"2024- 07- 02","190.61","190.35","191.29","190.13","","0.21%"
"2024- 07- 01","190.21","190.07","190.63","189.51","","0.12%"
"2024- 06- 28","189.99","190.91","191.26","189.24","","-0.38%"
"2024- 06- 27","190.72","191.88","192.08","190.36","","-0.50%"
"2024- 06- 26","191.68","191.60","192.01","190.97","","0.13%"
"2024- 06- 25","191.44","191.04","191.76","190.63","","0.25%"
"2024- 06- 24","190.97","191.29","191.88","190.76","","-0.03%"
"2024- 06- 21","191.02","191.81","191.99","190.87","","-0.36%"
"2024- 06- 20","191.71","190.50","191.94","190.16","","0.75%"
"2024- 06- 19","190.29","190.19","190.74","189.84","","0.13%"
"2024- 06- 18","190.04","190.18","191.01","189.85","","0.04%"
"2024- 06- 17","189.97","190.65","190.80","189.90","","-0.25%"
"2024- 06- 14","190.45","189.79","191.23","189.49","","0.43%"
"2024- 06- 13","189.63","189.40","190.14","188.56","","0.24%"
"2024- 06- 12","189.17","190.05","190.40","188.35","","-0.37%"
"2024- 06- 11","189.88","189.68","190.42","189.60","","0.20%"
"2024- 06- 10","189.51","190.41","190.86","189.54","","-0.38%"
"2024- 06- 07","190.23","188.35","190.49","188.13","","1.07%"
"2024- 06- 06","188.21","189.01","189.16","188.24","","-0.32%"
"2024- 06- 05","188.81","189.85","190.35","188.71","","-0.43%"
"2024- 06- 04","189.63","189.40","190.46","189.01","","0.22%"
"2024- 06- 03","189.21","190.99","191.09","189.33","","-0.83%"
"2024- 05- 31","190.79","190.29","191.73","189.96","","0.39%"
"2024- 05- 30","190.05","189.19","190.69","188.86","","0.56%"
"2024- 05- 29","188.99","188.25","189.27","187.88","","0.50%"
"2024- 05- 28","188.05","187.96","188.35","187.04","","0.18%"
"2024- 05- 27","187.71","188.74","188.97","187.85","","-0.46%"
"2024- 05- 24","188.57","188.99","189.60","188.41","","-0.12%"
